################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.7549908608645464E-02 a       246     0    11     1     6
 -8.2927776059344621E-02 a       247     0    11     1     7
 -7.8566085937826782E-02 a       248     0    11     1     8
  1.6040902529916388E-02 a       249     0    11     1     9
 -9.3500703669089098E-03 a       250     0    11     1    10
 -4.0937890118414024E-03 a       251     0    11     1    11
 -1.2960155269542581E-01 a       252     0    11     1    12
  7.3283489986705449E-03 a       253     0    11     1    13
 -6.3943070825729489E-02 a       254     0    11     1    14
  3.5372349681147747E-02 a       255     0    11     1    15
  4.3829523490582133E-02 a       256     0    11     1    16
  1.7912420391800357E-01 a       257     0    11     1    17
 -5.2430179686413919E-02 a       258     0    11     1    18
  2.9627310929322435E-02 a       259     0    11     1    19
 -4.0948034427673433E-02 a       260     0    11     1    20
 -2.6956097695177639E-02 a       261     0    11     1    21
  1.1074362091820852E-01 a       262     0    11     1    22
 -8.4352590361954791E-02 a       263     0    11     1    23
  1.2457184004369658E-01 a       264     0    11     1    24
  4.5201246311702303E-01 a       265     0    12     1     1
  9.3605207487398689E-01 a       266     0    12     1     2
 -4.0874238282944003E-01 a       267     0    12     1     3
 -1.5937608902060960E-02 a       268     0    12     1     4
  9.9052816350310302E-01 a       269     0    12     1     5
 -1.0721758609106637E+00 a       270     0    12     1     6
  5.4408643638483234E-01 a       271     0    12     1     7
  2.2538250454199410E-01 a       272     0    12     1     8
 -5.6312715581735362E-01 a       273     0    12     1     9
  1.9937381801240006E-01 a       274     0    12     1    10
 -4.5506283069469106E-02 a       275     0    12     1    11
 -6.8478147234596343E-01 a       276     0    12     1    12
  5.2284294704148804E-01 a       277     0    12     1    13
  5.3236681374645978E-01 a       278     0    12     1    14
 -6.8442055538162094E-01 a       279     0    12     1    15
  6.1808028464958586E-01 a       280     0    12     1    16
 -8.7550638061135566E-01 a       281     0    12     1    17
  1.2301589814223985E+00 a       282     0    12     1    18
  2.2170337380650432E-01 a       283     0    12     1    19
 -3.0546896673299256E-01 a       284     0    12     1    20
  6.9060399439734785E-02 a       285     0    12     1    21
 -1.2695658973772378E-01 a       286     0    12     1    22
  7.8775017750643106E-01 a       287     0    12     1    23
  7.1257150610497011E-01 a       288     0    12     1    24
 -4.6669896795080608E-02 a       289     0    13     1     1
 -1.7610096580971900E-03 a       290     0    13     1     2
 -1.4788603751436744E-02 a       291     0    13     1     3
  1.1086003745937263E-01 a       292     0    13     1     4
  3.2709185670921848E-01 a       293     0    13     1     5
 -2.1850090447651543E-01 a       294     0    13     1     6
  2.0525329339345674E-01 a       295     0    13     1     7
  1.2522620501796861E-01 a       296     0    13     1     8
 -6.1990688536412084E-02 a       297     0    13     1     9
  1.8853270319246365E-01 a       298     0    13     1    10
  1.5741997555086082E-01 a       299     0    13     1    11
 -2.7303684202792849E-01 a       300     0    13     1    12
  2.4208141156509061E-01 a       301     0    13     1    13
  1.2713701780314079E-01 a       302     0    13     1    14
 -4.4841269087832432E-02 a       303     0    13     1    15
 -4.1647782192146911E-02 a       304     0    13     1    16
 -2.0979392863582771E-01 a       305     0    13     1    17
  3.1410234158471673E-01 a       306     0    13     1    18
  2.5207532332284892E-02 a       307     0    13     1    19
 -6.0695742231908968E-02 a       308     0    13     1    20
  1.9439159446702933E-02 a       309     0    13     1    21
  1.5278712475856104E-01 a       310     0    13     1    22
  1.4697586266995942E-03 a       311     0    13     1    23
  1.4376228198250152E-01 a       312     0    13     1    24
 -2.1788033972089539E-02 a       313     0    14     1     1
  3.0505426554032256E-02 a       314     0    14     1     2
 -4.2297692418689768E-02 a       315     0    14     1     3
  6.1373419464289744E-02 a       316     0    14     1     4
 -2.6602307145915060E-02 a       317     0    14     1     5
 -1.5021718497177694E-01 a       318     0    14     1     6
  5.6331925698985201E-02 a       319     0    14     1     7
  8.9016183797386406E-02 a       320     0    14     1     8
  9.2398867080282748E-02 a       321     0    14     1     9
 -2.5447526720334412E-02 a       322     0    14     1    10
 -6.1853457553321242E-03 a       323     0    14     1    11
  3.7063141349354907E-02 a       324     0    14     1    12
 -6.1826467104642562E-02 a       325     0    14     1    13
  8.5707867343861321E-02 a       326     0    14     1    14
 -4.3198817781515922E-02 a       327     0    14     1    15
  9.2350409842668693E-02 a       328     0    14     1    16
  6.7592355483514360E-02 a       329     0    14     1    17
  6.2907948243490969E-02 a       330     0    14     1    18
  3.5463809494431432E-02 a       331     0    14     1    19
  3.3938459490813970E-02 a       332     0    14     1    20
  1.5871957957874001E-02 a       333     0    14     1    21
 -6.6881673975585157E-03 a       334     0    14     1    22
  1.2737532533951632E-01 a       335     0    14     1    23
  7.4762125322156786E-02 a       336     0    14     1    24
  1.1694036692843539E-01 a       337     0    15     1     1
  1.7700359495690268E-01 a       338     0    15     1     2
  1.7886167735111072E-01 a       339     0    15     1     3
 -1.7667883559930619E-01 a       340     0    15     1     4
  1.5195808451637730E-01 a       341     0    15     1     5
  1.4073541919567323E-01 a       342     0    15     1     6
 -5.5723498842383146E-02 a       343     0    15     1     7
 -3.3820793906391915E-02 a       344     0    15     1     8
 -2.9092901108278616E-02 a       345     0    15     1     9
 -2.2813630348629561E-02 a       346     0    15     1    10
 -1.0902654686634078E-01 a       347     0    15     1    11
 -1.5209747921409457E-02 a       348     0    15     1    12
  1.3011726776455060E-01 a       349     0    15     1    13
 -2.5934728096886642E-02 a       350     0    15     1    14
 -6.3093027716195401E-03 a       351     0    15     1    15
 -4.0452111244195718E-02 a       352     0    15     1    16
  1.3229190306757335E-01 a       353     0    15     1    17
 -3.4292006961196948E-02 a       354     0    15     1    18
  8.4716629204434388E-02 a       355     0    15     1    19
  2.0285171592229877E-02 a       356     0    15     1    20
