,O1,O2,O3,O4,O5,O6,O7,O8,C1,C2,C3,C4,H1,H2,H3,H4,H5,H6,H7,H8,C5,C6,C7,C8,H9,H10,H11,H12
42,38.67760809,75.10987012,-1.57306577,85.34348592,-74.45136588,-77.7827707,-160.37585706,-48.54179455,144.7472972,122.29830809,137.74238619,117.79598905,28.87371453,21.96333994,26.77887539,26.74974015,29.95471714,26.91256414,28.68992196,25.57630959,-5.67324004,-27.76682633,-16.77548285,-29.0469943,24.20401726,11.83278168,16.0079653,15.78213012
43,30.56745366,10.20556453,55.59528157,-40.93200216,-235.5484871,-119.96525978,-13.2171319,-81.91956592,102.12069278,126.37275134,147.81825793,82.05042879,23.012106,25.80757132,26.96105605,24.95374454,25.51267235,25.03337797,26.68680574,23.39670728,-3.30764271,-28.85222829,-24.43144803,-19.12043237,13.19829741,9.09792093,12.05901299,16.09504935
44,95.27640025,105.51515249,-23.97225803,85.45345014,12.77326805,-69.27329113,7.38422871,76.71176451,153.38422983,110.98954274,92.50652744,157.11860096,29.18977218,21.4795612,24.52156443,27.05696774,30.84012794,27.45189293,28.08878223,27.74024756,-18.84838137,-23.02289199,-23.04440134,-13.81650274,17.00830502,17.23940538,20.23734722,16.4772863
45,11.48885924,9.0483436,78.32939647,93.28512462,-22.25434532,-115.7204933,-252.98000293,-96.09331765,111.68912082,109.6833655,126.86486807,103.67428947,24.62512251,21.9116979,24.87802595,23.8146333,25.11978389,25.16547229,26.38829352,24.67490262,-19.06462046,-6.2938333,-13.49578537,-7.57756979,6.75231712,7.1211077,14.99465659,26.53106701
46,109.08597516,103.39224983,12.30104232,-113.3785449,-277.150885,-80.31698059,-60.90269445,-99.8787135,134.06871147,55.02151593,132.82529998,112.1855337,29.54533317,21.09738346,26.55803298,28.77483015,28.22909866,22.53549875,27.20293024,29.12882697,-9.75630726,-35.54193372,-18.26112802,7.77774652,30.64435909,16.45889819,10.44861251,17.32716525
47,69.52831162,73.7579591,47.19654974,52.45918273,-241.38171674,-233.73621482,-41.15225584,-226.30391015,104.705019,118.64871503,152.7070171,163.13841802,23.52171417,28.15001444,28.90426976,27.37471751,24.17366801,26.98828556,28.29688812,26.0093344,-19.31471815,-28.08900391,-14.39176498,-3.76469134,11.31205088,14.40998422,20.17876586,13.33013704
48,-49.4877021,91.96946,100.24820449,156.70850461,31.13094052,-39.50101323,-167.84688155,-34.42076379,145.1980717,129.62724171,128.19967746,122.42229199,29.4015481,24.22569569,25.9626932,24.36093258,29.73144556,26.82376675,28.24727046,24.22530399,-15.89820588,-23.83464288,-5.15938957,-17.26490172,23.51614226,16.25360001,18.90523842,24.67516716
49,103.57024785,53.58360496,-55.01678406,70.26431124,-189.41353068,-93.97513029,-98.27143162,-3.59731817,115.55470043,151.89529696,121.44846782,95.36124482,24.94988328,29.4532727,27.84511382,21.56063391,24.83631025,29.7994098,28.25681529,26.5222364,-3.60995516,-18.90699729,-18.27477939,-27.16098458,17.87788636,13.9712706,13.13267216,14.90945763
50,126.9920546,-104.63032879,86.39063945,27.95068125,-60.61397224,-239.64548467,-82.96521099,-103.21095006,128.51585099,136.8994244,160.94061787,151.7558797,26.79256088,29.71712258,28.68146443,29.44035422,28.94997116,29.54336534,28.99534207,29.09229121,-10.54550555,-1.25078581,-24.85553809,-10.65810531,26.06305313,9.99585728,12.02520465,24.76841176
51,-6.47351829,80.35790959,-3.70609908,5.87691947,67.5864523,-18.4887773,-215.00805061,-161.95438459,141.73689347,139.34033953,117.42714831,84.3379277,27.47620711,28.50030922,20.72550675,26.34862963,27.62366817,26.38331986,26.46156731,25.146901,-23.51837244,-18.97490563,-18.35413989,-7.5830671,9.02675243,21.36101631,17.10946465,11.32343693
52,-14.50309561,11.71394057,6.43498363,154.25011777,-255.82124147,9.1840363,-181.81949966,-5.79957195,136.5734602,143.3133116,130.99028864,163.58930105,29.12256183,26.48425563,28.58842407,27.97149535,30.47848039,28.15505859,29.53300036,24.65062794,4.26139762,-20.00679308,-20.25749209,-7.00720904,13.00028283,7.46228488,11.11821554,15.45742986
53,-5.07671865,23.58467084,53.37439022,77.18555559,28.93363926,-240.16025738,-41.62073288,6.06141399,156.36377656,105.86810202,126.34009334,83.82409816,28.99952893,26.97078847,26.90278717,21.64291506,28.86748333,27.71296285,27.33345646,20.73404757,-15.37866882,-7.85518407,-29.06616815,-25.04423138,17.27790829,14.06836992,18.29653028,13.88549421
54,135.7905878,-28.04986982,59.11548457,137.744123,66.9869396,-8.94570999,-178.5650014,-140.89910354,132.78287256,100.37850279,136.70545556,145.21456247,23.13210793,26.35219116,25.63608651,27.43003724,27.0255964,22.90373968,25.6601485,27.96327007,-12.05511428,-11.50255266,-18.22414861,-11.78340669,24.37642045,8.81021759,10.25437495,20.35787433
55,34.35735616,-52.05796391,98.04146184,-16.63736626,-135.26765344,9.20220523,-123.86661372,-50.71186478,115.06643739,145.37847175,143.25194231,64.10349896,28.10046009,27.18951748,27.49887616,20.72624647,26.96757151,28.33469612,26.30103734,26.48011123,-18.56014929,-19.67345361,-26.30776473,-15.12504294,7.56737789,11.63211738,13.74668683,12.29820659
