################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4944420961711494E-01 a       311     0    13     1    23
 -2.5101182049968855E-02 a       312     0    13     1    24
 -8.9528408975167076E-02 a       313     0    14     1     1
 -4.2171476705090215E-02 a       314     0    14     1     2
 -1.2742137197530477E-02 a       315     0    14     1     3
  2.0285920263545899E-02 a       316     0    14     1     4
  5.6077171488475859E-02 a       317     0    14     1     5
  2.6795371271178977E-02 a       318     0    14     1     6
 -9.1862856761066425E-02 a       319     0    14     1     7
 -5.4170686371864368E-02 a       320     0    14     1     8
 -6.9135293185518587E-02 a       321     0    14     1     9
  1.0311420730521388E-02 a       322     0    14     1    10
 -2.2061623185206578E-02 a       323     0    14     1    11
  1.1424739856640841E-01 a       324     0    14     1    12
  1.0573694955105621E-01 a       325     0    14     1    13
  2.8987920175982715E-02 a       326     0    14     1    14
 -7.1150768440645079E-04 a       327     0    14     1    15
  2.1348507078760096E-01 a       328     0    14     1    16
 -1.3889661996253816E-01 a       329     0    14     1    17
 -5.4231554702323242E-02 a       330     0    14     1    18
 -1.6603609228193325E-01 a       331     0    14     1    19
  7.3786039961499933E-02 a       332     0    14     1    20
 -5.9187692529520809E-02 a       333     0    14     1    21
 -1.1854259634740694E-01 a       334     0    14     1    22
 -4.1077220313085867E-02 a       335     0    14     1    23
 -1.6263484654227819E-02 a       336     0    14     1    24
 -3.4740724936291288E-02 a       337     0    15     1     1
  3.4792865561138014E-01 a       338     0    15     1     2
  4.5587041716626842E-01 a       339     0    15     1     3
 -2.7324060672877032E-01 a       340     0    15     1     4
 -2.9087803918168155E-02 a       341     0    15     1     5
 -8.5673979275563372E-01 a       342     0    15     1     6
 -2.2635309791155436E-01 a       343     0    15     1     7
  4.7247784937844117E-01 a       344     0    15     1     8
  6.2425378361339945E-01 a       345     0    15     1     9
 -6.2956419507144346E-01 a       346     0    15     1    10
 -1.3638871918983389E-01 a       347     0    15     1    11
  2.3902233856449048E-01 a       348     0    15     1    12
  4.2129374030877270E-01 a       349     0    15     1    13
 -2.4634638089154816E-02 a       350     0    15     1    14
 -2.3035370424160662E-01 a       351     0    15     1    15
 -3.5307243893904083E-01 a       352     0    15     1    16
  4.1043982858017541E-01 a       353     0    15     1    17
 -2.9668295406549144E-01 a       354     0    15     1    18
  1.9481794473947173E-01 a       355     0    15     1    19
 -9.6581754430459765E-01 a       356     0    15     1    20
  2.2885247959531657E-01 a       357     0    15     1    21
 -7.2079533335394819E-01 a       358     0    15     1    22
  5.0142671642813452E-01 a       359     0    15     1    23
 -6.2512699308952080E-01 a       360     0    15     1    24
 -1.7691608935373424E+00 a       361     0    16     1     1
  5.7078462776971295E-01 a       362     0    16     1     2
 -1.7809846182741140E-01 a       363     0    16     1     3
 -3.2328170243244453E-01 a       364     0    16     1     4
 -4.5578852922534202E-01 a       365     0    16     1     5
  9.5361542343476713E-01 a       366     0    16     1     6
  2.3871146975819761E+00 a       367     0    16     1     7
 -3.3100575527744286E-01 a       368     0    16     1     8
 -1.0495374943677043E+00 a       369     0    16     1     9
 -1.8849048599713087E+00 a       370     0    16     1    10
  4.0233730268531143E-01 a       371     0    16     1    11
 -1.0248251644285558E+00 a       372     0    16     1    12
  8.9873085169834999E-02 a       373     0    16     1    13
 -7.8132209428439603E-01 a       374     0    16     1    14
  1.6585762152252381E-01 a       375     0    16     1    15
  1.2088901977677371E+00 a       376     0    16     1    16
  2.3634308329411598E-02 a       377     0    16     1    17
 -4.2476598257444415E-01 a       378     0    16     1    18
  9.3173638951106008E-01 a       379     0    16     1    19
  1.6463654131934875E+00 a       380     0    16     1    20
 -5.3063474519935472E-01 a       381     0    16     1    21
 -6.1859324822850237E-01 a       382     0    16     1    22
  2.2871442699370461E+00 a       383     0    16     1    23
 -1.1137193835872501E+00 a       384     0    16     1    24
 -5.6874158539879538E-01 a       385     0    17     1     1
  2.9763515692511461E-01 a       386     0    17     1     2
 -8.1924150416000885E-01 a       387     0    17     1     3
 -2.7678912940875947E-02 a       388     0    17     1     4
  4.6906945515332921E-01 a       389     0    17     1     5
 -5.8085683065067684E-01 a       390     0    17     1     6
 -6.1682735978256409E-01 a       391     0    17     1     7
 -1.1930949057669258E+00 a       392     0    17     1     8
 -3.0900099118842012E-01 a       393     0    17     1     9
 -6.6695174156391146E-01 a       394     0    17     1    10
  5.5378892658514389E-01 a       395     0    17     1    11
  1.2497605865939856E+00 a       396     0    17     1    12
 -2.5661349702064390E-01 a       397     0    17     1    13
  4.9790485361602577E-01 a       398     0    17     1    14
 -2.4973978384767220E-01 a       399     0    17     1    15
 -6.9298432685525957E-01 a       400     0    17     1    16
  1.3357725591154487E-01 a       401     0    17     1    17
 -4.4756520924875443E-01 a       402     0    17     1    18
 -3.2465321091870247E-01 a       403     0    17     1    19
  1.5240053319488192E+00 a       404     0    17     1    20
 -1.6463238595235028E+00 a       405     0    17     1    21
  1.4031207086602517E-02 a       406     0    17     1    22
  1.3951745408970131E-01 a       407     0    17     1    23
  2.1689315945261325E-01 a       408     0    17     1    24
 -3.3818042471356058E-02 a       409     0    18     1     1
 -1.9972071441183190E-01 a       410     0    18     1     2
  1.9236463961435382E-01 a       411     0    18     1     3
  7.5054245633661337E-02 a       412     0    18     1     4
 -7.2262172854100803E-02 a       413     0    18     1     5
 -8.3754815538062535E-02 a       414     0    18     1     6
 -4.5837013113286173E-03 a       415     0    18     1     7
  1.0440054800241329E-01 a       416     0    18     1     8
  7.3906125836109268E-02 a       417     0    18     1     9
 -3.5432777633111708E-02 a       418     0    18     1    10
  1.9662531569169411E-01 a       419     0    18     1    11
 -2.2447218545859227E-01 a       420     0    18     1    12
 -4.9266825014488820E-02 a       421     0    18     1    13
  1.3251531503498420E-01 a       422     0    18     1    14
 -2.7131630161828540E-02 a       423     0    18     1    15
  2.2147871656917573E-01 a       424     0    18     1    16
  8.5261246951920666E-02 a       425     0    18     1    17
  1.2030990657087259E-01 a       426     0    18     1    18
 -2.6033632584184285E-01 a       427     0    18     1    19
  2.5075106380822960E-02 a       428     0    18     1    20
 -7.5225150799884510E-02 a       429     0    18     1    21
 -4.1891646033938169E-02 a       430     0    18     1    22
  1.1176960487959089E-02 a       431     0    18     1    23
 -7.9378483441280928E-02 a       432     0    18     1    24
 -3.3477338871805112E-01 a       433     0    19     1     1
  4.8694685221242362E-01 a       434     0    19     1     2
  1.1233402201898934E-01 a       435     0    19     1     3
 -3.5473211857717885E-01 a       436     0    19     1     4
 -1.6578922451163930E-01 a       437     0    19     1     5
  3.2953449075243102E-01 a       438     0    19     1     6
  5.4854761810523556E-01 a       439     0    19     1     7
 -2.6049925169778881E-01 a       440     0    19     1     8
  1.1272435695232436E-01 a       441     0    19     1     9
 -5.1702674432656548E-01 a       442     0    19     1    10
  1.5261726495803929E-01 a       443     0    19     1    11
  3.2220827175310979E-01 a       444     0    19     1    12
 -2.4275283973729025E-01 a       445     0    19     1    13
  2.1320272694845702E-01 a       446     0    19     1    14
 -1.4580990908482805E-01 a       447     0    19     1    15
  2.8972938458858025E-02 a       448     0    19     1    16
  2.3164419947787956E-01 a       449     0    19     1    17
 -1.8106239561114835E-02 a       450     0    19     1    18
  6.3144653515837501E-01 a       451     0    19     1    19
  1.3935568557609576E-01 a       452     0    19     1    20
 -4.5881675922432502E-02 a       453     0    19     1    21
 -2.3220643336803806E-01 a       454     0    19     1    22
  5.3823805461921947E-01 a       455     0    19     1    23
  4.9297533594265530E-02 a       456     0    19     1    24
 -2.6219627578492216E-01 a       457     0    20     1     1
  1.3711610560767867E-01 a       458     0    20     1     2
 -3.1906600040156607E-01 a       459     0    20     1     3
  5.8037108515231112E-02 a       460     0    20     1     4
  7.9400763434967228E-02 a       461     0    20     1     5
 -1.6514011058165978E-01 a       462     0    20     1     6
 -3.6733255304749489E-02 a       463     0    20     1     7
 -7.7165883695972728E-02 a       464     0    20     1     8
  3.6338378816909100E-01 a       465     0    20     1     9
  8.7080671951262678E-02 a       466     0    20     1    10
 -1.7004099786378968E-01 a       467     0    20     1    11
  3.2263450289723800E-01 a       468     0    20     1    12
 -1.4122586070631030E-01 a       469     0    20     1    13
 -3.5543849654851484E-01 a       470     0    20     1    14
  3.1655628719553179E-02 a       471     0    20     1    15
 -1.6443656478141125E-01 a       472     0    20     1    16
 -1.6635068999065330E-02 a       473     0    20     1    17
 -1.3485977280063541E-02 a       474     0    20     1    18
  3.5615372488188529E-01 a       475     0    20     1    19
  1.4518768892119878E-02 a       476     0    20     1    20
 -1.0035959900740403E-01 a       477     0    20     1    21
 -4.6118564534179313E-02 a       478     0    20     1    22
  1.1190722839987960E-01 a       479     0    20     1    23
  1.5172411998203723E-02 a       480     0    20     1    24
  1.8470902162671704E-01 a       481     0    21     1     1
  2.1452902839584725E-01 a       482     0    21     1     2
  5.9669087551192934E-01 a       483     0    21     1     3
  1.2434198201066201E-02 a       484     0    21     1     4
  1.4317728130206127E+00 a       485     0    21     1     5
 -4.0940934494460907E-01 a       486     0    21     1     6
 -5.6735384820175405E-01 a       487     0    21     1     7
  1.3900445662605782E-01 a       488     0    21     1     8
 -4.9449115752801809E-01 a       489     0    21     1     9
 -5.7419038145207024E-01 a       490     0    21     1    10
  6.3909739770334539E-01 a       491     0    21     1    11
  1.1280091999538011E+00 a       492     0    21     1    12
 -5.4182375621416479E-01 a       493     0    21     1    13
  2.0754731783663430E-01 a       494     0    21     1    14
 -5.7796945597511939E-01 a       495     0    21     1    15
 -1.4170133259842987E+00 a       496     0    21     1    16
  6.3475686521611352E-01 a       497     0    21     1    17
  1.1209428339890415E-01 a       498     0    21     1    18
  1.6057370009498635E+00 a       499     0    21     1    19
  8.1875143297789699E-01 a       500     0    21     1    20
  7.9497040884884096E-01 a       501     0    21     1    21
 -1.1885746731742781E+00 a       502     0    21     1    22
  1.4385420633867856E+00 a       503     0    21     1    23
 -3.3393123806057412E-02 a       504     0    21     1    24
  2.7816824337922458E-01 a       505     0    22     1     1
 -1.9148758323628245E-01 a       506     0    22     1     2
  3.9622567276585391E-01 a       507     0    22     1     3
 -1.8950972467326591E-02 a       508     0    22     1     4
 -1.5748818790369024E-01 a       509     0    22     1     5
  4.3636660936701210E-02 a       510     0    22     1     6
  8.3064112537093240E-02 a       511     0    22     1     7
