################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.1427802726659467E-01 a       332     0    14     1    20
 -7.6089777222159954E-02 a       333     0    14     1    21
 -1.4672984499361752E-01 a       334     0    14     1    22
 -2.2488168825487659E-01 a       335     0    14     1    23
  1.5290751743359704E-01 a       336     0    14     1    24
 -6.1525464215798388E-03 a       337     0    15     1     1
 -2.2300786776816781E-02 a       338     0    15     1     2
 -1.1048153493149181E-01 a       339     0    15     1     3
 -1.0401309319500880E-01 a       340     0    15     1     4
 -4.4340771524799816E-02 a       341     0    15     1     5
 -4.3116247434535369E-02 a       342     0    15     1     6
  1.0493100018724295E-01 a       343     0    15     1     7
 -2.0132851283657591E-02 a       344     0    15     1     8
  1.8302237051551640E-01 a       345     0    15     1     9
 -1.0154334060481886E-03 a       346     0    15     1    10
  1.0855534300414293E-01 a       347     0    15     1    11
 -8.9757109608102931E-02 a       348     0    15     1    12
 -9.1964069266123619E-02 a       349     0    15     1    13
  6.4202446207199657E-02 a       350     0    15     1    14
 -8.4570676662786115E-02 a       351     0    15     1    15
  1.7158944046017208E-01 a       352     0    15     1    16
  1.0897615059803230E-01 a       353     0    15     1    17
 -6.7988101610308965E-02 a       354     0    15     1    18
  1.3151305811568118E-01 a       355     0    15     1    19
  6.5507551880523068E-02 a       356     0    15     1    20
  7.9925104149571134E-06 a       357     0    15     1    21
  4.5021481074256568E-02 a       358     0    15     1    22
 -9.8742739032248476E-04 a       359     0    15     1    23
 -9.5880699236260011E-02 a       360     0    15     1    24
  2.0516953397504414E-01 a       361     0    16     1     1
 -9.0293252080849706E-02 a       362     0    16     1     2
 -1.7079197658924117E-02 a       363     0    16     1     3
  6.3999839172298359E-02 a       364     0    16     1     4
 -7.2291127111055550E-02 a       365     0    16     1     5
 -3.1114372163729816E-02 a       366     0    16     1     6
  1.3905940385120041E-01 a       367     0    16     1     7
 -9.3346935434324124E-02 a       368     0    16     1     8
  6.4567717118090437E-02 a       369     0    16     1     9
 -2.1200615410026512E-02 a       370     0    16     1    10
 -1.5104732449815206E-01 a       371     0    16     1    11
  8.3455365475964050E-02 a       372     0    16     1    12
 -1.2856529846697898E-01 a       373     0    16     1    13
 -2.5833610558571385E-01 a       374     0    16     1    14
  1.8059949020138749E-01 a       375     0    16     1    15
 -1.1304026843478494E-01 a       376     0    16     1    16
 -4.1323120995450539E-02 a       377     0    16     1    17
 -1.8017762640630242E-01 a       378     0    16     1    18
 -1.3960068619296603E-01 a       379     0    16     1    19
 -5.7865488206297215E-02 a       380     0    16     1    20
 -2.9506310826473625E-01 a       381     0    16     1    21
 -8.2974019205242111E-02 a       382     0    16     1    22
 -3.4813986024642141E-02 a       383     0    16     1    23
 -1.0211892802358012E-01 a       384     0    16     1    24
 -3.0454666552051399E-02 a       385     0    17     1     1
 -2.6501275845348110E-01 a       386     0    17     1     2
  1.2408744174042646E-01 a       387     0    17     1     3
 -2.2103130433007873E-01 a       388     0    17     1     4
 -9.8928165578665656E-02 a       389     0    17     1     5
 -1.1332532372702285E-01 a       390     0    17     1     6
  1.5050768931286415E-02 a       391     0    17     1     7
  3.9177153181004190E-02 a       392     0    17     1     8
  6.7373559493719468E-02 a       393     0    17     1     9
  3.9973053117098964E-02 a       394     0    17     1    10
 -4.2182698780936487E-02 a       395     0    17     1    11
 -1.4060658549236657E-01 a       396     0    17     1    12
  1.3425425900095983E-01 a       397     0    17     1    13
 -2.1715535931068497E-01 a       398     0    17     1    14
 -3.5130702280199023E-02 a       399     0    17     1    15
  8.8305378768762072E-02 a       400     0    17     1    16
 -8.2790448237572353E-02 a       401     0    17     1    17
 -5.5080918568185880E-02 a       402     0    17     1    18
 -1.6322204790427089E-01 a       403     0    17     1    19
 -1.6399460960947393E-01 a       404     0    17     1    20
 -9.0810963593134217E-02 a       405     0    17     1    21
 -3.7185185766448803E-02 a       406     0    17     1    22
 -9.6112897242244810E-02 a       407     0    17     1    23
  9.7308365410152309E-02 a       408     0    17     1    24
  7.4406771425839985E-02 a       409     0    18     1     1
 -1.1142331709159896E-02 a       410     0    18     1     2
  2.1705844572380692E-01 a       411     0    18     1     3
  2.6248002767150885E-01 a       412     0    18     1     4
 -5.5440036441334238E-02 a       413     0    18     1     5
  4.2018384942104005E-02 a       414     0    18     1     6
 -4.8458721048653598E-02 a       415     0    18     1     7
 -9.0603442349407468E-02 a       416     0    18     1     8
  1.6783930767948285E-01 a       417     0    18     1     9
  1.0781551013132794E-01 a       418     0    18     1    10
 -1.5162890221077682E-01 a       419     0    18     1    11
 -1.7224987922511525E-01 a       420     0    18     1    12
  1.9110200824746573E-01 a       421     0    18     1    13
  2.3624239994023155E-01 a       422     0    18     1    14
 -3.1289179586361798E-01 a       423     0    18     1    15
 -1.3016090816541487E-01 a       424     0    18     1    16
  1.5071298566411159E-01 a       425     0    18     1    17
 -1.1730878813166540E-01 a       426     0    18     1    18
 -1.9437951630146738E-01 a       427     0    18     1    19
  2.2021457721526544E-01 a       428     0    18     1    20
 -5.8569743282290886E-02 a       429     0    18     1    21
 -1.5041855371891982E-01 a       430     0    18     1    22
 -1.5064818272402986E-01 a       431     0    18     1    23
 -1.1155824602938549E-01 a       432     0    18     1    24
  1.4867180462328955E-01 a       433     0    19     1     1
  7.4403137693712360E-02 a       434     0    19     1     2
  1.4031970471033720E-01 a       435     0    19     1     3
 -4.4948923412520096E-02 a       436     0    19     1     4
 -8.3826035618309688E-02 a       437     0    19     1     5
  6.0735839933716708E-02 a       438     0    19     1     6
 -3.0471345829891072E-01 a       439     0    19     1     7
  2.5776833063428033E-02 a       440     0    19     1     8
  8.9121724869097516E-02 a       441     0    19     1     9
 -1.6168117944429342E-01 a       442     0    19     1    10
  1.3725246850675893E-01 a       443     0    19     1    11
 -1.3027733074341039E-01 a       444     0    19     1    12
  2.5168266233846071E-01 a       445     0    19     1    13
  5.4127572665613299E-02 a       446     0    19     1    14
 -7.3242363510369529E-02 a       447     0    19     1    15
 -4.6863897190660175E-01 a       448     0    19     1    16
  1.2296287384900531E-01 a       449     0    19     1    17
 -1.8263581308225751E-01 a       450     0    19     1    18
 -3.1779407888536233E-02 a       451     0    19     1    19
  1.2360298637849149E-01 a       452     0    19     1    20
  6.5966181044754019E-02 a       453     0    19     1    21
  1.0061392030054456E-01 a       454     0    19     1    22
  1.5612299976279727E-02 a       455     0    19     1    23
 -1.4923313067819155E-01 a       456     0    19     1    24
  2.2391887365896634E-01 a       457     0    20     1     1
 -4.4596895144063634E-02 a       458     0    20     1     2
 -2.6050990486665399E-02 a       459     0    20     1     3
 -1.4362778699227285E-01 a       460     0    20     1     4
  6.5244509147282456E-03 a       461     0    20     1     5
 -2.1467241407895483E-02 a       462     0    20     1     6
  1.5129716254919351E-01 a       463     0    20     1     7
  2.2703665380283747E-03 a       464     0    20     1     8
 -1.8955706224401395E-01 a       465     0    20     1     9
  8.5226838327849830E-02 a       466     0    20     1    10
 -1.1460295295098817E-01 a       467     0    20     1    11
 -2.5512761189031008E-02 a       468     0    20     1    12
 -3.9286059856562180E-02 a       469     0    20     1    13
  6.4683991496569282E-02 a       470     0    20     1    14
  1.8677653454908610E-01 a       471     0    20     1    15
 -1.0800874412460693E-01 a       472     0    20     1    16
 -5.9729763989658381E-02 a       473     0    20     1    17
  1.4311763508136893E-01 a       474     0    20     1    18
 -6.1183267962631974E-02 a       475     0    20     1    19
 -8.4614129565292476E-02 a       476     0    20     1    20
  1.2365893909968771E-01 a       477     0    20     1    21
 -7.6168594963905547E-03 a       478     0    20     1    22
  1.8923054207718515E-01 a       479     0    20     1    23
  1.8647951598691551E-01 a       480     0    20     1    24
  1.7590277197873847E-02 a       481     0    21     1     1
 -1.2849653928696200E-01 a       482     0    21     1     2
 -8.2571915812971533E-02 a       483     0    21     1     3
 -1.2043744233419951E-01 a       484     0    21     1     4
 -5.1261544455647136E-03 a       485     0    21     1     5
 -1.1691604386438169E-01 a       486     0    21     1     6
  3.8651394447390172E-02 a       487     0    21     1     7
  5.2025534165280170E-02 a       488     0    21     1     8
 -1.3474515428032025E-01 a       489     0    21     1     9
 -3.9081420682873812E-02 a       490     0    21     1    10
 -1.6912840494869580E-01 a       491     0    21     1    11
 -1.0541298962573911E-01 a       492     0    21     1    12
 -1.6258417261096619E-01 a       493     0    21     1    13
  1.2473377047762361E-02 a       494     0    21     1    14
  1.8245607157209427E-02 a       495     0    21     1    15
 -4.3666086013962272E-03 a       496     0    21     1    16
  6.8376225964364323E-02 a       497     0    21     1    17
  2.0593408115051193E-01 a       498     0    21     1    18
 -2.1861532063932789E-02 a       499     0    21     1    19
 -3.1188788648908183E-02 a       500     0    21     1    20
  1.2129376867393246E-01 a       501     0    21     1    21
  1.7514832741794625E-01 a       502     0    21     1    22
  2.5497702677551243E-01 a       503     0    21     1    23
  2.0619210232712310E-02 a       504     0    21     1    24
  1.6629921465959867E-02 a       505     0    22     1     1
  1.1175189606425442E-01 a       506     0    22     1     2
 -6.8988410249921500E-02 a       507     0    22     1     3
  2.0024974483076255E-01 a       508     0    22     1     4
  8.5686145635993874E-02 a       509     0    22     1     5
 -1.1909613228519277E-01 a       510     0    22     1     6
  2.2388412136337776E-01 a       511     0    22     1     7
